time,BlueCarCo,BlueCarCm,GreenCarCo,GreenCarCm,BlueCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,ƒ{ƒ^ƒ“
0,1,1.499997,0,0,17.27875,143,133.9081,0,0,0,21.90845,on
0,1,1.499997,0,0,17.42432,143,134.0049,0,0,0,22.00523,on
0,1,1.499997,0,0,17.56714,143,134.1025,0,0,0,22.1028,on
0,1,1.499997,0,0,17.71271,143,134.2009,0,0,0,22.20117,on
0,1,1.499997,0,0,17.85553,143,134.3001,0,0,0,22.30034,on
0,1,1.499997,0,0,18.0011,143,134.4001,0,0,0,22.40031,on
0,1,1.499997,0,0,18.14392,143,134.5009,0,0,0,22.50108,on
0,1,1.499996,0,0,18.28674,143,134.6025,0,0,0,22.60265,on
0,1,1.499996,0,0,18.43231,143,134.7049,0,0,0,22.70502,on
0,1,1.499996,0,0,18.57513,143,134.8081,0,0,0,22.80818,on
0,1,1.499996,0,0,18.7207,143,134.9121,0,0,0,22.91216,on
0,1,1.499996,0,0,18.86353,143,135.0169,0,0,0,23.01691,on
0,1,1.499996,0,0,19.00909,143,135.1225,0,0,0,23.12249,on
0,1,1.499995,0,0,19.15192,143,135.2289,0,0,0,23.22886,on
0,1,1.499995,0,0,19.29474,143,135.3361,0,0,0,23.33601,on
0,1,1.499995,0,0,19.44031,143,135.4441,0,0,0,23.44398,on
0,1,1.499995,0,0,19.58313,143,135.5529,0,0,0,23.55275,on
0,1,1.499994,0,0,19.7287,143,135.6625,0,0,0,23.66232,on
0,1,1.499994,0,0,19.87152,143,135.7729,0,0,0,23.77269,on
0,1,1.499994,0,0,20.01709,143,135.8841,0,0,0,23.88387,on
0,1,1.499993,0,0,20.15991,143,135.9961,0,0,0,23.99583,on
0,1,1.499993,0,0,20.30273,143,136.1089,0,0,0,24.1086,on
0,1,1.499992,0,0,20.4483,143,136.2225,0,0,0,24.22217,on
0,1,1.499991,0,0,20.59113,143,136.3369,0,0,0,24.33653,on
0,1,1.499991,0,0,20.73669,143,136.4521,0,0,0,24.45171,on
0,1,1.49999,0,0,20.87952,143,136.5681,0,0,0,24.56767,on
0,1,1.499989,0,0,21.02234,143,136.6849,0,0,0,24.68443,on
0,1,1.499988,0,0,21.16791,143,136.8025,0,0,0,24.802,on
0,1,1.499987,0,0,21.31073,143,136.9209,0,0,0,24.92036,on
0,1,1.499985,0,0,21.4563,143,137.0401,0,0,0,25.03954,on
0,1,1.499984,0,0,21.59912,143,137.1601,0,0,0,25.15951,on
0,1,1.499982,0,0,21.74469,143,137.2809,0,0,0,25.28028,on
0,1,1.49998,0,0,21.88751,143,137.4025,0,0,0,25.40185,on
0,1,1.499978,0,0,22.03033,143,137.5249,0,0,0,25.52421,on
0,1,1.499975,0,0,22.1759,143,137.6481,0,0,0,25.64738,on
0,1,1.499972,0,0,22.31873,143,137.7721,0,0,0,25.77134,on
0,1,1.499968,0,0,22.46429,143,137.8969,0,0,0,25.89611,on
0,1,1.499964,0,0,22.60712,143,138.0225,0,0,0,26.02168,on
0,1,1.499959,0,0,22.75269,143,138.1489,0,0,0,26.14805,on
0,1,1.499953,0,0,22.89551,143,138.2761,0,0,0,26.27522,on
0,1,1.499946,0,0,23.03833,143,138.4041,0,0,0,26.40318,on
0,1,1.499937,0,0,23.1839,143,138.5329,0,0,0,26.53194,on
0,1,1.499927,0,0,23.32672,143,138.6625,0,0,0,26.66151,on
0,1,1.499914,0,0,23.47229,143,138.7929,0,0,0,26.79188,on
0,1,1.499899,0,0,23.61511,143,138.9241,0,0,0,26.92304,on
0,1,1.49988,0,0,23.76068,143,139.0561,0,0,0,27.05501,on
0,1,1.499856,0,0,23.9035,143,139.1889,0,0,0,27.18777,on
0,1,1.499827,0,0,24.04633,143,139.3225,0,0,0,27.32133,on
0,1,1.499789,0,0,24.19189,143,139.4569,0,0,0,27.4557,on
0,1,1.499742,0,0,24.33472,143,139.5921,0,0,0,27.59087,on
0,1,1.499681,0,0,24.48029,143,139.7281,0,0,0,27.72684,on
0,1,1.499601,0,0,24.62311,143,139.8649,0,0,0,27.8636,on
0,1,1.499496,0,0,24.76868,143,140.0025,0,0,0,28.00117,on
0,1,1.499355,0,0,24.9115,143,140.1409,0,0,0,28.13954,on
0,1,1.499164,0,0,25.05432,143,140.28,0,0,0,28.2787,on
0,1,1.498899,0,0,25.19989,143,140.42,0,0,0,28.41867,on
0,1,1.498527,0,0,25.34271,143,140.5608,0,0,0,28.55943,on
0,1,1.49799,0,0,25.48828,143,140.7024,0,0,0,28.701,on
0,1,1.497197,0,0,25.6311,143,140.8448,0,0,0,28.84338,on
0,1,1.495986,0,0,25.77667,143,140.988,0,0,0,28.98655,on
0,1,1.494068,0,0,25.91949,143,141.132,0,0,0,29.13052,on
0,1,1.490885,0,0,26.06232,143,141.2768,0,0,0,29.27528,on
0,1,1.485268,0,0,26.20789,143,141.4224,0,0,0,29.42085,on
0,1,1.474497,0,0,26.35071,143,141.5688,0,0,0,29.56721,on
0,1,1.451089,0,0,26.49628,143,141.716,0,0,0,29.71438,on
0,1,1.387531,0,0,26.6391,143,141.864,0,0,0,29.86234,on
0,1.202364,1.137711,0,0,26.78467,143,142.0128,0,0,0,30.01112,on
0,1.189975,1.398423,0,0,26.92749,143,142.1624,0,0,0,30.16068,on
0,1.180278,1.453472,0,0,27.07031,143,142.3128,0,0,0,30.31104,on
0,1.171981,1.47502,0,0,27.21588,143,142.464,0,0,0,30.46221,on
0,1.16458,1.485289,0,0,27.3587,143,142.616,0,0,0,30.61417,on
0,1.157819,1.490776,0,0,27.50427,143,142.7688,0,0,0,30.76694,on
0,1.151544,1.493943,0,0,27.64709,143,142.9224,0,0,0,30.92051,on
0,1.145656,1.495877,0,0,27.79266,143,143.0768,0,0,0,31.07488,on
0,1.140086,1.497111,0,0,27.93549,143,143.232,0,0,0,31.23005,on
0,1.134782,1.497926,0,0,28.07831,143,143.388,0,0,0,31.38601,on
0,1.129707,1.498481,0,0,28.22388,143,143.5448,0,0,0,31.54278,on
0,1.12483,1.498867,0,0,28.3667,143,143.7024,0,0,0,31.70034,on
0,1.12013,1.499143,0,0,28.51227,143,143.8608,0,0,0,31.85871,on
0,1.115585,1.499342,0,0,28.65509,143,144.02,0,0,0,32.01788,on
0,1.111181,1.499489,0,0,28.80066,143,144.18,0,0,0,32.17784,on
0,1.106904,1.499599,0,0,28.94348,143,144.3408,0,0,0,32.33862,on
0,1.102742,1.499681,0,0,29.0863,143,144.5024,0,0,0,32.50017,on
0,1.098688,1.499745,0,0,29.23187,143,144.6648,0,0,0,32.66254,on
0,1.094731,1.499794,0,0,29.37469,143,144.828,0,0,0,32.8257,on
